# %ECSV 0.9
# ---
# datatype:
# - {name: meta_ID, datatype: int64}
# - {name: src_names, datatype: string}
# - {name: significance, datatype: float32}
# - {name: ra, datatype: float32}
# - {name: dec, datatype: float32}
# - {name: NEW_SOURCE, datatype: uint16}
# - {name: ISGRI_FLAG, datatype: int64}
# - {name: FLAG, datatype: int64}
# - {name: ERR_RAD, datatype: float64}
# meta: !!omap
# - {FRAME: fk5}
# - {LAT_NAME: dec}
# - {COORD_UNIT: deg}
# - {LON_NAME: ra}
# schema: astropy-2.0
meta_ID src_names significance ra dec NEW_SOURCE ISGRI_FLAG FLAG ERR_RAD
174 "SLX 1746-331" 1.82024 267.461 -33.1986 0 1 0 0.00972000043839
175 "IGR J17498-2921" 0.05356 267.481 -29.3221 0 2 0 0.000169999999343
176 "1H 1746-370" 1.77863 267.553 -37.0522 0 2 0 0.000280000007479
177 "SAX J1750.8-2900" 0.334813 267.6 -29.0383 0 1 0 0.00167000002693
178 "IGR J17507-2647" 0.608053 267.664 -26.7434 0 2 0 0.000269999989541
179 "IGR J17507-2856" 1.59915 267.679 -28.9411 0 1 0 0.036669999361
180 "GRS 1747-312" 1.80696 267.69 -31.2922 0 2 0 0.000280000007479
181 "IGR J17511-3057" 2.13684 267.786 -30.9614 0 2 0 0.000169999999343
182 "IGR J17513-2011" 0.207785 267.804 -20.204 0 1 0 0.00361000001431
183 "XTE J1751-305" 0.223804 267.817 -30.625 0 2 0 0.000169999999343
184 "1RXS J175113.3-20121" 0.0602738 267.854 -20.2019 0 1 0 0.0128300003707
185 "XTE J1752-223" 0.104117 268.0 -22.3 0 1 0 0.0500000007451
186 "SAX J1753.5-2349" 0.316339 268.383 -23.8201 0 1 0 0.0010300000431
187 "AX J1753.5-2745" 0.07961 268.389 -27.7741 0 1 0 0.00139999995008
188 "IGR J17536-2339" 0.53773 268.4 -23.65 0 1 0 0.0666700005531
189 "SWIFT J1753.7-2544" 1.08643 268.416 -25.7539 0 2 0 2.99999992421e-05
190 "IGR J17541-2252" 0.978677 268.525 -22.8667 0 1 0 0.0666700005531
191 "AX J1754.2-2754" 1.21827 268.561 -27.9095 0 1 0 0.00104999996256
192 "IGR J17544-2619" 1.87369 268.605 -26.3313 0 2 0 0.000169999999343
193 "IGR J17559-2612" 1.2196 268.991 -26.23 0 1 0 0.0010000000475
194 "IGR J17585-3057" 1.42187 269.638 -30.9561 0 1 0 0.033330000937
195 "IGR J17586-2129" 0.179456 269.644 -21.3893 0 2 0 0.000269999989541
196 "IGR J17597-2201" 0.445325 0.0 0.0 0 2 0 0.000169999999343
197 "GX 5-1" 0.0 0.0 0.0 0 2 0 0.000829999975394
198 "GRS 1758-258" 0.0 0.0 0.0 0 2 0 0.000280000007479
199 "GX 9+1" 0.0 0.0 0.0 0 2 0 0.000829999975394
200 "IGR J18044-2739" 0.0 0.0 0.0 0 1 0 0.0130000002682
201 "SAX J1806.5-2215" 0.0 0.0 0.0 0 2 0 0.000609999988228
202 "XTE J1807-294" 0.0 0.0 0.0 0 2 0 0.000280000007479
203 "SAX J1808.4-3658" 0.0 0.0 0.0 0 2 0 2.99999992421e-05
204 "IGR J18088-2741" 0.0 0.0 0.0 0 1 0 0.0250000003725
205 "SAX J1810.8-2609" 0.0 0.0 0.0 0 1 0 0.00167000002693
206 "IGR J18136-2739" 0.0 0.0 0.0 0 1 0 0.0683299973607
207 "IGR J18159-3353" 0.0 0.0 0.0 0 1 0 0.0666700005531
208 "XTE J1817-330" 0.0 0.0 0.0 0 2 0 5.99999984843e-05
209 "H 1820-303" 0.0 0.0 0.0 0 2 0 9.99999974738e-06
210 "IGR J18249-3243" 0.0 0.0 0.0 0 1 0 0.0010300000431
211 "3A 1822-371" 0.0 0.0 0.0 0 2 0 0.000280000007479
